Compactness,Circularity,Distance.circularity,Radius.ratio,Pr.axis.aspect.ratio,Max.length.aspect.ratio,Scatter.ratio,Elongatedness,Pr.axis.rectangularity,Max.length.rectangularity,Scaled.variance.major.axis,Scaled.variance.minor.axis,Scaled.radius.of.gyration,Skewness.major.axis,Skewness.minor.axis,Kurtosis.major.axis,Kurtosis.minor.axis,Hollows.ratio,vehicle_y
0.601183431952663,0.699408284023669,0.563313609467456,0.594082840236686,0.959171597633136,0.753254437869822,0.573372781065089,0.467455621301775,0.554437869822485,0.743195266272189,0.469230769230769,0.550295857988166,0.618343195266272,0.388757396449704,0.53491124260355,0.68284023668639,0.392307692307692,0.524260355029586,3
0.437869822485207,0.305325443786982,0.584023668639053,0.250887573964497,0.259763313609467,0.631360946745562,0.305325443786982,0.68284023668639,0.344378698224852,0.382248520710059,0.328402366863905,0.32603550295858,0.328994082840237,0.544378698224852,0.729585798816568,0.614792899408284,0.536686390532544,0.647337278106509,3
0.859171597633136,0.760355029585799,0.934319526627219,0.881656804733728,0.78698224852071,0.753254437869822,0.797633136094675,0.201775147928994,0.766272189349112,0.724260355029586,0.826627218934911,0.793491124260355,0.914792899408284,0.615976331360947,0.914201183431953,0.410059171597633,0.464497041420118,0.463905325443787,1
0.517159763313609,0.305325443786982,0.543195266272189,0.41301775147929,0.611834319526627,0.631360946745562,0.219526627218935,0.76094674556213,0.344378698224852,0.382248520710059,0.151479289940828,0.216568047337278,0.0668639053254438,0.0514792899408284,0.53491124260355,0.451479289940828,0.930177514792899,0.947337278106509,3
0.137278106508876,0.483431952662722,0.254437869822485,0.848520710059172,0.994082840236686,0.998224852071006,0.305325443786982,0.68284023668639,0.344378698224852,0.423668639053254,0.963905325443787,0.293491124260355,0.686390532544379,0.998816568047337,0.729585798816568,0.496449704142012,0.0733727810650888,0.0550295857988166,2
0.928994082840237,0.985207100591716,0.934319526627219,0.546745562130178,0.0130177514792899,0.16508875739645,0.990532544378698,0.00532544378698225,0.994082840236686,0.9,0.991715976331361,0.992899408284024,0.998816568047337,0.941420118343195,0.453254437869823,0.410059171597633,0.117751479289941,0.0550295857988166,2
0.670414201183432,0.418343195266272,0.342603550295858,0.555621301775148,0.742603550295858,0.16508875739645,0.430769230769231,0.467455621301775,0.344378698224852,0.382248520710059,0.469230769230769,0.485207100591716,0.47396449704142,0.171005917159763,0.888165680473373,0.057396449704142,0.950295857988166,0.868639053254438,2
0.389940828402367,0.418343195266272,0.149704142011834,0.393491124260355,0.742603550295858,0.631360946745562,0.155029585798817,0.82603550295858,0.126627218934911,0.504733727810651,0.169822485207101,0.160355029585799,0.390532544378698,0.22603550295858,0.294674556213018,0.142603550295858,0.746745562130178,0.797633136094675,3
0.192307692307692,0.00710059171597633,0.0745562130177515,0.238461538461538,0.491715976331361,0.342603550295858,0.0372781065088757,0.950887573964497,0.0248520710059172,0.0603550295857988,0.0366863905325444,0.0420118343195266,0.00236686390532544,0.0881656804733728,0.223668639053254,0.614792899408284,0.950295857988166,0.963313609467456,3
0.517159763313609,0.483431952662722,0.756213017751479,0.769822485207101,0.550887573964497,0.883431952662722,0.676923076923077,0.326627218934911,0.707100591715976,0.504733727810651,0.663313609467456,0.676923076923077,0.275739644970414,0.0881656804733728,0.369822485207101,0.614792899408284,0.817751479289941,0.868639053254438,1
0.192307692307692,0.0556213017751479,0.254437869822485,0.268047337278107,0.491715976331361,0.631360946745562,0.111834319526627,0.873372781065089,0.126627218934911,0.114792899408284,0.0970414201183432,0.130769230769231,0.0668639053254438,0.171005917159763,0.223668639053254,0.451479289940828,0.782840236686391,0.797633136094675,3
