alcohol,malic.acid,ash,alcalinity.of.ash,magnesium,total.phenols,flavanoids,nonflavanoid.phenols,proanthocyanins,color.intensity,hue,OD280.OD315.of.diluted.wines,proline,wine_y
0.954802259887006,0.364406779661017,0.615819209039548,0.0903954802259887,0.96045197740113,0.748587570621469,0.847457627118644,0.305084745762712,0.892655367231638,0.666666666666667,0.601694915254237,0.994350282485876,0.822033898305085,0
0.570621468926554,0.451977401129944,0.166666666666667,0.00564971751412429,0.553672316384181,0.692090395480226,0.720338983050847,0.214689265536723,0.282485875706215,0.440677966101695,0.635593220338983,0.884180790960452,0.80225988700565,0
0.550847457627119,0.627118644067797,0.867231638418079,0.403954802259887,0.587570621468927,0.748587570621469,0.903954802259887,0.398305084745763,0.966101694915254,0.677966101694915,0.573446327683616,0.745762711864407,0.875706214689266,0
0.971751412429379,0.548022598870056,0.69774011299435,0.209039548022599,0.850282485875706,0.994350282485876,0.949152542372881,0.152542372881356,0.870056497175141,0.875706214689266,0.313559322033898,0.898305084745763,0.977401129943503,0
0.584745762711864,0.686440677966102,0.983050847457627,0.694915254237288,0.898305084745763,0.748587570621469,0.703389830508475,0.598870056497175,0.666666666666667,0.423728813559322,0.601694915254237,0.612994350282486,0.593220338983051,0
0.932203389830508,0.435028248587571,0.632768361581921,0.0706214689265537,0.827683615819209,0.949152542372881,0.935028248587571,0.511299435028249,0.768361581920904,0.785310734463277,0.635593220338983,0.550847457627119,0.971751412429379,0
0.988700564971751,0.505649717514124,0.632768361581921,0.0451977401129944,0.437853107344633,0.587570621468927,0.615819209039548,0.398305084745763,0.788135593220339,0.593220338983051,0.559322033898305,0.951977401129944,0.943502824858757,0
0.889830508474576,0.604519774011299,0.80225988700565,0.288135593220339,0.932203389830508,0.646892655367232,0.610169491525424,0.426553672316384,0.259887005649718,0.559322033898305,0.655367231638418,0.951977401129944,0.949152542372881,0
1,0.285310734463277,0.192090395480226,0.0367231638418079,0.474576271186441,0.748587570621469,0.799435028248588,0.347457627118644,0.788135593220339,0.581920903954802,0.692090395480226,0.550847457627119,0.793785310734463,0
0.844632768361582,0.135593220338983,0.322033898305085,0.124293785310734,0.514124293785311,0.855932203389831,0.867231638418079,0.115819209039548,0.677966101694915,0.824858757062147,0.545197740112994,0.932203389830508,0.793785310734463,0
0.901129943502825,0.612994350282486,0.401129943502825,0.324858757062147,0.703389830508475,0.830508474576271,0.926553672316384,0.115819209039548,0.92090395480226,0.703389830508475,0.92090395480226,0.745762711864407,0.983050847457627,0
0.909604519774011,0.180790960451977,0.449152542372881,0.209039548022599,0.406779661016949,0.449152542372881,0.590395480225989,0.214689265536723,0.525423728813559,0.542372881355932,0.819209039548023,0.522598870056497,0.918079096045198,0
0.796610169491525,0.401129943502825,0.590395480225989,0.124293785310734,0.27683615819209,0.646892655367232,0.720338983050847,0.347457627118644,0.661016949152542,0.655367231638418,0.793785310734463,0.598870056497175,0.96045197740113,0
0.994350282485876,0.401129943502825,0.556497175141243,0.0112994350282486,0.319209039548023,0.906779661016949,0.977401129943503,0.717514124293785,0.966101694915254,0.615819209039548,0.92090395480226,0.451977401129944,0.867231638418079,0
0.980225988700565,0.505649717514124,0.536723163841808,0.0169491525423729,0.632768361581921,0.96045197740113,0.966101694915254,0.347457627118644,0.988700564971751,0.844632768361582,0.853107344632768,0.646892655367232,0.994350282485876,0
0.734463276836158,0.471751412429379,0.906779661016949,0.254237288135593,0.827683615819209,0.782485875706215,0.768361581920904,0.398305084745763,0.446327683615819,0.833333333333333,0.946327683615819,0.590395480225989,0.954802259887006,0
0.96045197740113,0.542372881355932,0.929378531073446,0.581920903954802,0.92090395480226,0.748587570621469,0.858757062146893,0.485875706214689,0.768361581920904,0.748587570621469,0.675141242937853,0.426553672316384,0.918079096045198,0
0.827683615819209,0.23728813559322,0.822033898305085,0.581920903954802,0.861581920903955,0.830508474576271,0.943502824858757,0.635593220338983,0.627118644067797,0.774011299435028,0.779661016949153,0.409604519774011,0.858757062146893,0
0.926553672316384,0.242937853107345,0.672316384180791,0.180790960451977,0.765536723163842,0.96045197740113,0.994350282485876,0.457627118644068,0.686440677966102,0.915254237288136,0.88135593220339,0.522598870056497,1,0
0.740112994350282,0.751412429378531,0.754237288135593,0.0706214689265537,0.875706214689266,0.703389830508475,0.833333333333333,0.0282485875706215,0.590395480225989,0.570621468926554,0.485875706214689,0.853107344632768,0.680790960451977,0
0.889830508474576,0.274011299435028,0.350282485875706,0.124293785310734,0.954802259887006,0.878531073446328,0.878531073446328,0.152542372881356,0.858757062146893,0.672316384180791,0.709039548022599,0.983050847457627,0.641242937853107,0
0.466101694915254,0.853107344632768,0.855932203389831,0.403954802259887,0.632768361581921,0.519774011299435,0.581920903954802,0.177966101694915,0.788135593220339,0.463276836158192,0.573446327683616,0.92090395480226,0.632768361581921,0
